,School Name,School Type,SAT Reading Average,SAT Math Average,District,Grades Served
2754,Aspira Charter - Business and Finance HS,CHARTER SCH,416.6,412.0,City of Chicago SD 299, 9 10 11 12
2790,Richards Career Academy HS,HIGH SCHOOL,396.9,379.3,City of Chicago SD 299, 9 10 11 12
2791,Ogden Int High School,HIGH SCHOOL,500.2,483.1,City of Chicago SD 299, 9 10 11 12
2807,Urban Prep Chtr Acad West Campus HS,CHARTER SCH,414.4,410.0,City of Chicago SD 299, 9 10 11 12
2840,Manley Career Academy High School,HIGH SCHOOL,385.8,357.3,City of Chicago SD 299, 9 10 11 12
2863,Chicago HS for Agricult Sciences,HIGH SCHOOL,496.1,500.7,City of Chicago SD 299, 9 10 11 12
2869,Wells Community Academy HS,HIGH SCHOOL,408.6,406.7,City of Chicago SD 299, 9 10 11 12
2929,World Language High School,HIGH SCHOOL,440.5,424.0,City of Chicago SD 299, 9 10 11 12
2938,North-Grand High School,HIGH SCHOOL,431.9,442.0,City of Chicago SD 299, 9 10 11 12
2964,Bronzeville Scholastic HS,HIGH SCHOOL,403.8,402.1,City of Chicago SD 299, 9 10 11 12
2994,CICS - Quest North Campus,CHARTER SCH,418.4,386.7,City of Chicago SD 299, 9 10 11 12
3070,YCCS-Truman Middle College HS,CHARTER SCH,421.2,399.6,City of Chicago SD 299, 9 10 11 12
3118,YCCS-CCA Academy HS,CHARTER SCH,373.9,355.6,City of Chicago SD 299, 9 10 11 12
3133,Mather High School,HIGH SCHOOL,450.4,461.5,City of Chicago SD 299, 9 10 11 12
3136,Urban Prep Chtr Acad Englewood HS,CHARTER SCH,407.6,377.6,City of Chicago SD 299, 9 10 11 12
3154,Chicago Virtual Charter School,CHARTER SCH,474.2,453.3,City of Chicago SD 299, K 1 2 3 4 5 6 7 8 9 10 11 12
3180,YCCS-Youth Connection Leadership Academy,CHARTER SCH,388.0,359.3,City of Chicago SD 299, 9 10 11 12
3189,South Shore Intl Col Prep HS,HIGH SCHOOL,478.9,439.2,City of Chicago SD 299, 9 10 11 12
3197,Hancock College Preparatory HS,HIGH SCHOOL,543.5,543.3,City of Chicago SD 299, 9 10 11 12
3201,Horizon Sci Academy - Southwest Charter,CHARTER SCH,419.0,415.7,City of Chicago SD 299, K 1 2 3 4 5 6 7 8 9 10 11 12
3209,YCCS-Austin Career Ed Cntr HS,CHARTER SCH,367.4,350.8,City of Chicago SD 299, 9 10 11 12
3222,Lake View High School,HIGH SCHOOL,465.1,464.2,City of Chicago SD 299, 9 10 11 12
