,School Name,School Type,# Student Enrollment,% Student Enrollment - White,% Student Enrollment - Black or African American,% Student Enrollment - Hispanic or Latino,% Student Enrollment - Asian,% Student Enrollment - Native Hawaiian or Other Pacific Islander,% Student Enrollment - American Indian or Alaska Native,% Student Enrollment - Two or More Races,% Student Enrollment - Children with Disabilities,% Student Enrollment - EL,% Student Enrollment - Low Income,% Student Enrollment - Homeless,Total Number of School Days,Student Attendance Rate,Chronically Truant Students,Student Chronic Truancy Rate,High School Dropout Rate - Total,High School 4-Year Graduation Rate - Total,High School 5-Year Graduation Rate - Total,Avg Class Size - High School,Teacher Retention Rate,# 9th Grade on Track,% Graduates enrolled in a Postsecondary Institution within 12 months,# Graduates enrolled in Community College,Chronic Absenteeism,Five Essential Survey Effective Leaders,Five Essential Survey Leaders Level,Five Essential Survey Collaborative Teachers,Five Essential Survey Collaborative Teachers Level,Five Essential Survey Involved Families,Five Essential Survey Involved Families Level,Five Essential Survey Supportive Environment,Five Essential Survey Supportive Environment Level,Five Essential Survey Ambitious Instruction,Five Essential Survey Ambitious Instruction.1,Five Essential Survey Student Response Rate,Five Essential Survey Teacher Response Rate,# CRDC Total Enrollment,% CRDC In-School Suspensions,% CRDC Out-of-School Suspensions,% CRDC Expulsions,% CRDC School Related Arrests,% CRDC Referral to Law Enforcement,% CRDC Chronic Absenteeism,% CRDC Incidents of Violence,% CRDC Enrolled PreK,% CRDC Advanced Placement Coursework,District,Grades Served
1128,Amundsen High School,HIGH SCHOOL,1289,16.1,11.2,58.7,11.4,0.5,0.3,1.7,21.5,10.1,75.3,0.9,178.0,91.3,475.0,40.6,3.4,85.8,84.6,27.4,92.5,317.0,70.1,80.0,32.4,63.0,4.0,79.0,4.0,88.0,5.0,68.0,4.0,80.0,5.0,90.1,82.3,1142.0,8.6,5.0,0.0,1.0,4.4,43.1,0.7,0.0,4.8,City of Chicago SD 299, 9 10 11 12
1129,Bogan High School,HIGH SCHOOL,828,0.5,60.7,38.4,,0.1,0.1,0.1,25.4,12.3,90.0,3.9,178.0,83.1,945.0,94.7,13.9,56.2,60.1,30.1,80.0,172.0,56.2,66.0,78.9,43.0,3.0,52.0,3.0,54.0,3.0,44.0,3.0,61.0,4.0,92.6,88.3,861.0,26.8,8.7,0.2,0.5,0.2,53.4,1.6,0.0,24.5,City of Chicago SD 299, 9 10 11 12
1130,Carver Military Academy HS,HIGH SCHOOL,481,1.2,35.6,63.0,,,,0.2,10.6,5.4,85.0,3.5,178.0,93.3,202.0,46.2,1.3,94.0,97.4,26.1,89.5,90.0,64.8,23.0,23.3,65.0,4.0,69.0,4.0,70.0,4.0,47.0,3.0,59.0,3.0,79.6,93.8,491.0,5.1,5.3,0.0,2.0,2.6,32.6,0.8,0.0,13.8,City of Chicago SD 299, 9 10 11 12
1131,Farragut Career Academy HS,HIGH SCHOOL,651,0.8,12.9,86.2,,,0.2,,24.9,28.4,97.4,1.7,178.0,85.4,422.0,62.1,12.9,57.0,57.2,26.8,82.9,105.0,46.3,42.0,62.9,55.0,3.0,66.0,4.0,53.0,3.0,60.0,4.0,69.0,4.0,82.7,85.1,914.0,0.4,11.4,0.0,0.2,2.0,58.1,1.6,3.6,1.4,City of Chicago SD 299,PK 9 10 11 12
1132,Fenger Academy High School,HIGH SCHOOL,203,,96.6,2.0,,0.5,,1.0,21.2,0.5,92.6,53.2,178.0,83.2,240.0,83.7,21.6,35.2,44.7,30.2,83.3,39.0,33.3,8.0,79.1,78.0,4.0,84.0,5.0,63.0,4.0,75.0,4.0,99.0,5.0,93.5,99.9,275.0,44.7,25.8,0.0,1.5,2.9,85.1,6.9,0.0,6.9,City of Chicago SD 299, 9 10 11 12
1133,Foreman High School,HIGH SCHOOL,739,2.3,21.5,75.1,0.5,,0.4,0.1,22.1,32.6,94.5,1.6,178.0,84.6,614.0,79.2,12.4,59.3,62.2,28.6,75.5,123.0,46.9,75.0,75.8,19.0,1.0,30.0,2.0,30.0,2.0,40.0,3.0,49.0,3.0,56.2,58.5,1058.0,18.5,12.3,0.4,1.0,3.5,44.3,1.3,0.0,17.3,City of Chicago SD 299, 9 10 11 12
1134,Back of The Yards IB HS,HIGH SCHOOL,1067,1.3,3.2,91.0,3.9,0.1,0.5,,10.0,11.6,92.9,0.6,178.0,93.3,340.0,35.0,0.8,97.5,98.8,25.4,89.0,262.0,68.8,67.0,24.1,47.0,3.0,59.0,3.0,69.0,4.0,76.0,4.0,91.0,5.0,75.7,77.5,791.0,0.5,4.2,0.0,0.3,0.3,12.9,1.0,0.0,0.0,City of Chicago SD 299, 9 10 11 12
1135,Gage Park High School,HIGH SCHOOL,342,0.6,37.7,61.1,,0.3,0.3,,26.3,28.4,97.1,22.5,178.0,81.4,581.0,100.0,20.1,39.5,47.5,26.1,75.6,74.0,35.4,27.0,89.3,33.0,2.0,40.0,3.0,35.0,2.0,38.0,2.0,47.0,3.0,83.3,80.0,412.0,22.1,7.5,0.0,1.5,1.9,36.7,1.5,0.0,11.9,City of Chicago SD 299, 9 10 11 12
1136,Harlan Community Academy HS,HIGH SCHOOL,328,0.3,97.6,1.8,,,,0.3,24.7,,94.8,17.1,178.0,82.8,368.0,83.3,15.2,51.9,56.3,26.6,71.8,73.0,48.6,32.0,87.6,39.0,2.0,48.0,3.0,50.0,3.0,73.0,4.0,82.0,5.0,55.0,64.3,622.0,38.9,27.5,0.3,3.2,6.4,78.8,7.2,0.0,14.5,City of Chicago SD 299, 9 10 11 12
1138,Hirsch Metropolitan High School,HIGH SCHOOL,98,,95.9,1.0,,,2.0,1.0,42.9,2.0,99.0,15.3,178.0,77.0,295.0,100.0,27.2,38.2,39.3,25.2,73.1,17.0,39.7,12.0,100.0,52.0,3.0,63.0,4.0,46.0,3.0,38.0,2.0,36.0,2.0,86.5,93.8,152.0,36.2,34.2,0.0,3.9,5.9,100.0,5.3,0.0,2.6,City of Chicago SD 299, 9 10 11 12
1139,Hubbard High School,HIGH SCHOOL,1691,1.9,6.5,90.8,0.2,,0.4,0.2,16.4,18.9,95.5,2.1,178.0,89.2,885.0,53.2,8.1,77.9,81.3,29.3,93.4,315.0,65.1,132.0,45.3,61.0,4.0,72.0,4.0,64.0,4.0,52.0,3.0,65.0,4.0,92.9,64.3,1722.0,11.9,5.3,0.0,0.5,3.4,46.9,0.9,0.0,17.7,City of Chicago SD 299, 9 10 11 12
1140,Hyde Park Academy High School,HIGH SCHOOL,776,,98.6,1.0,,,0.1,0.3,20.7,1.2,96.8,3.9,178.0,85.9,652.0,88.7,8.3,72.3,74.8,25.9,88.5,139.0,54.2,46.0,66.2,60.0,4.0,62.0,4.0,48.0,3.0,52.0,3.0,72.0,4.0,53.5,70.3,816.0,66.4,32.0,0.0,2.0,1.7,67.3,4.3,0.0,15.7,City of Chicago SD 299, 9 10 11 12
1141,Thomas Kelly College Preparatory,HIGH SCHOOL,1895,1.8,4.1,79.6,13.7,0.1,0.2,0.5,19.9,29.6,94.1,1.6,178.0,88.0,1027.0,55.9,11.7,67.0,64.2,29.1,88.8,343.0,59.0,152.0,50.8,47.0,3.0,50.0,3.0,58.0,3.0,47.0,3.0,60.0,4.0,59.3,73.1,2264.0,4.5,2.1,0.0,0.7,2.0,43.3,0.4,0.0,9.3,City of Chicago SD 299, 9 10 11 12
1142,Kelvyn Park High School,HIGH SCHOOL,405,2.5,5.7,91.1,,0.2,0.2,0.2,23.7,33.3,97.0,4.0,178.0,84.2,335.0,74.4,13.8,55.2,50.0,22.3,71.6,59.0,44.4,18.0,61.1,38.0,2.0,56.0,3.0,38.0,2.0,46.0,3.0,55.0,3.0,72.5,53.9,709.0,23.1,19.5,0.3,0.6,2.1,70.7,4.8,0.0,14.7,City of Chicago SD 299, 7 8 9 10 11 12
1143,Kennedy High School,HIGH SCHOOL,1588,20.0,3.1,74.5,0.7,0.1,0.9,0.6,21.4,9.8,66.2,0.3,178.0,89.5,695.0,46.7,7.8,76.1,75.2,28.1,92.5,288.0,72.4,132.0,43.3,35.0,2.0,49.0,3.0,63.0,4.0,51.0,3.0,69.0,4.0,88.2,70.9,1628.0,0.2,10.1,0.0,0.8,3.0,49.8,2.4,0.0,15.8,City of Chicago SD 299, 9 10 11 12
1144,Kenwood Academy High School,HIGH SCHOOL,1860,5.1,84.4,4.7,2.8,0.2,0.3,2.6,13.0,1.4,57.1,1.5,178.0,93.5,535.0,31.2,2.3,93.4,90.4,28.9,91.7,393.0,82.9,72.0,22.0,59.0,3.0,68.0,4.0,87.0,5.0,72.0,4.0,95.0,5.0,82.8,81.3,1754.0,19.3,14.0,0.0,0.0,0.0,32.7,1.2,0.0,20.6,City of Chicago SD 299, 7 8 9 10 11 12
1145,Lake View High School,HIGH SCHOOL,1383,13.0,10.3,70.4,3.1,0.2,0.7,2.3,24.6,10.0,72.3,1.7,178.0,86.7,737.0,58.5,4.5,84.0,84.7,27.1,92.7,238.0,67.4,80.0,48.1,45.0,3.0,58.0,3.0,59.0,3.0,50.0,3.0,65.0,4.0,80.8,79.3,1295.0,11.2,22.9,0.2,1.2,3.5,60.9,6.2,0.0,24.0,City of Chicago SD 299, 9 10 11 12
1146,Lane Technical High School,HIGH SCHOOL,4517,36.9,7.9,40.4,10.6,0.4,0.4,3.4,15.4,1.0,43.6,0.2,178.0,94.5,542.0,13.3,0.9,96.3,95.9,29.4,93.6,1057.0,90.6,144.0,15.1,42.0,3.0,48.0,3.0,65.0,4.0,72.0,4.0,83.0,5.0,83.3,54.8,4057.0,0.0,1.5,0.0,0.3,1.2,24.9,0.1,0.0,68.1,City of Chicago SD 299, 7 8 9 10 11 12
1147,Marshall Metropolitan High School,HIGH SCHOOL,251,,98.8,1.2,,,,,29.1,0.4,96.8,17.9,178.0,76.3,440.0,100.0,17.0,45.5,47.3,24.8,80.6,59.0,49.5,26.0,100.0,58.0,3.0,80.0,5.0,87.0,5.0,76.0,4.0,93.0,5.0,68.1,62.1,423.0,39.2,31.9,0.5,0.5,1.4,56.3,8.5,0.0,10.6,City of Chicago SD 299, 9 10 11 12
1148,Mather High School,HIGH SCHOOL,1486,16.8,13.5,38.5,28.7,0.5,0.7,1.4,18.6,26.3,86.5,0.9,178.0,89.4,776.0,54.1,6.4,71.8,74.1,24.9,91.8,352.0,68.2,113.0,43.0,39.0,2.0,60.0,4.0,49.0,3.0,54.0,3.0,64.0,4.0,86.5,84.0,1580.0,3.5,6.1,0.0,1.1,1.5,54.6,1.0,0.0,19.7,City of Chicago SD 299, 9 10 11 12
1149,Morgan Park High School,HIGH SCHOOL,1225,0.2,97.4,1.4,,,,1.0,14.7,0.3,86.1,3.4,178.0,86.7,829.0,70.4,6.7,76.1,68.8,27.7,88.2,197.0,68.2,42.0,54.7,41.0,3.0,52.0,3.0,58.0,3.0,40.0,3.0,69.0,4.0,75.0,66.7,1436.0,6.4,15.0,0.1,2.0,6.5,58.3,2.4,0.0,20.6,City of Chicago SD 299, 7 8 9 10 11 12
1150,Phillips Academy High School,HIGH SCHOOL,738,0.1,98.2,1.5,,0.1,,,18.6,0.8,94.4,1.9,178.0,80.6,982.0,100.0,14.2,53.7,56.9,31.3,85.1,142.0,55.9,21.0,96.1,55.0,3.0,59.0,3.0,50.0,3.0,55.0,3.0,87.0,5.0,63.6,75.5,671.0,41.4,39.2,0.3,0.7,1.3,76.2,10.3,0.0,8.6,City of Chicago SD 299, 9 10 11 12
1151,Roosevelt High School,HIGH SCHOOL,954,5.8,12.8,70.4,8.2,1.3,1.0,0.5,24.3,34.1,94.1,1.3,178.0,89.2,523.0,55.1,9.4,69.9,71.9,28.3,89.4,163.0,60.1,106.0,48.8,56.0,3.0,71.0,4.0,57.0,3.0,52.0,3.0,63.0,4.0,80.9,88.1,1177.0,32.6,12.1,0.0,1.0,4.7,66.7,4.8,0.0,8.2,City of Chicago SD 299, 8 9 10 11 12
1152,Schurz High School,HIGH SCHOOL,1607,5.4,9.9,81.8,1.4,0.3,0.4,0.8,25.0,22.8,88.6,3.6,178.0,86.3,941.0,60.6,8.1,63.9,72.5,27.3,85.6,291.0,55.0,157.0,57.6,40.0,3.0,52.0,3.0,65.0,4.0,47.0,3.0,58.0,3.0,79.0,69.2,1997.0,2.7,6.0,0.1,1.5,5.8,71.0,1.0,0.0,15.8,City of Chicago SD 299, 9 10 11 12
1153,Senn High School,HIGH SCHOOL,1414,10.8,25.4,42.0,18.1,0.8,0.5,2.4,21.3,18.3,79.6,0.6,178.0,90.6,623.0,44.8,5.8,67.7,78.6,24.9,90.7,298.0,72.9,96.0,37.8,43.0,3.0,63.0,4.0,67.0,4.0,59.0,3.0,77.0,4.0,96.7,70.1,1365.0,6.4,10.3,0.3,1.4,7.0,47.0,3.0,0.0,12.0,City of Chicago SD 299, 9 10 11 12
1154,King College Prep High School,HIGH SCHOOL,514,0.2,94.2,4.1,0.6,,0.2,0.8,15.4,2.5,79.2,5.6,178.0,89.8,257.0,61.7,3.6,94.2,94.4,20.5,89.1,101.0,88.0,14.0,42.0,20.0,2.0,26.0,2.0,45.0,3.0,60.0,4.0,91.0,5.0,68.6,66.0,704.0,7.4,2.0,0.0,0.0,0.6,38.4,0.0,0.0,28.4,City of Chicago SD 299, 9 10 11 12
1155,Steinmetz College Prep HS,HIGH SCHOOL,1227,8.9,15.8,71.4,2.3,0.1,0.5,1.1,22.4,21.7,82.9,3.6,178.0,86.2,866.0,68.1,9.4,66.3,71.4,28.9,90.6,281.0,59.9,126.0,61.8,59.0,3.0,74.0,4.0,76.0,4.0,45.0,3.0,68.0,4.0,63.6,77.9,1544.0,31.7,10.1,0.0,0.8,0.9,69.5,1.7,0.0,15.7,City of Chicago SD 299, 9 10 11 12
1156,Sullivan High School,HIGH SCHOOL,654,7.0,39.4,34.9,17.3,0.5,0.2,0.8,25.2,45.3,88.1,6.7,178.0,84.5,531.0,84.4,7.1,60.8,64.4,23.6,85.4,103.0,54.1,22.0,62.5,55.0,3.0,61.0,4.0,63.0,4.0,63.0,4.0,69.0,4.0,84.5,74.6,572.0,0.3,6.3,0.0,0.0,0.3,64.0,2.3,0.0,2.4,City of Chicago SD 299, 9 10 11 12
1157,Taft High School,HIGH SCHOOL,3398,46.9,2.2,39.8,8.0,0.2,0.3,2.5,19.2,8.8,46.6,0.6,178.0,90.5,1275.0,40.2,4.6,81.0,77.9,27.6,95.2,647.0,79.6,268.0,35.1,36.0,2.0,51.0,3.0,58.0,3.0,52.0,3.0,65.0,4.0,86.8,68.1,3254.0,4.1,0.7,0.0,0.7,1.0,45.6,0.6,0.0,24.7,City of Chicago SD 299, 7 8 9 10 11 12
1158,Tilden Career Communty Academy HS,HIGH SCHOOL,214,10.3,49.1,39.3,0.9,,,0.5,36.9,14.5,93.5,26.2,178.0,80.9,298.0,100.0,21.4,48.2,53.5,21.4,84.4,25.0,29.4,9.0,93.4,49.0,3.0,54.0,3.0,31.0,2.0,38.0,2.0,58.0,3.0,66.5,80.8,306.0,1.3,27.5,0.7,2.6,10.8,67.6,2.0,0.0,4.2,City of Chicago SD 299, 9 10 11 12
1159,Von Steuben Metro Science HS,HIGH SCHOOL,1772,16.4,9.8,57.6,13.4,0.1,0.6,2.0,13.3,2.8,66.3,0.5,178.0,92.7,517.0,32.3,1.0,90.7,94.6,29.7,95.0,405.0,83.8,106.0,22.1,44.0,3.0,65.0,4.0,70.0,4.0,68.0,4.0,81.0,5.0,93.2,81.1,1661.0,3.6,4.0,0.0,1.1,3.6,32.9,0.7,0.0,37.4,City of Chicago SD 299, 9 10 11 12
1160,Lincoln Park High School,HIGH SCHOOL,2104,28.7,21.3,33.2,12.2,0.1,0.4,4.0,20.2,3.4,46.8,1.3,178.0,90.7,736.0,38.2,3.9,86.5,89.6,27.4,93.1,510.0,87.1,59.0,32.5,0.0,0.0,0.0,0.0,0.0,0.0,48.0,3.0,82.0,5.0,80.3,34.6,2115.0,0.3,4.1,0.0,0.3,1.1,50.5,0.1,0.0,37.6,City of Chicago SD 299, 9 10 11 12
1161,Washington G High School,HIGH SCHOOL,1435,4.8,4.8,88.5,0.2,,1.0,0.6,18.5,15.3,85.8,2.4,178.0,89.7,717.0,53.3,5.5,81.2,78.5,27.2,89.3,309.0,66.9,93.0,42.1,30.0,2.0,42.0,3.0,47.0,3.0,53.0,3.0,61.0,4.0,89.4,69.3,1438.0,19.5,9.6,0.3,0.9,2.5,68.3,4.8,0.0,29.0,City of Chicago SD 299, 9 10 11 12
1162,Wells Community Academy HS,HIGH SCHOOL,358,5.0,47.8,44.7,0.6,,,2.0,31.6,14.5,89.7,8.4,178.0,86.2,203.0,54.0,8.4,57.9,75.4,26.4,72.1,72.0,50.4,36.0,64.0,54.0,3.0,70.0,4.0,55.0,3.0,53.0,3.0,65.0,4.0,78.8,87.9,457.0,19.0,5.3,0.0,0.9,1.3,41.8,1.3,0.0,29.5,City of Chicago SD 299, 9 10 11 12
1163,Crane Medical Prep HS,HIGH SCHOOL,428,0.7,73.4,24.1,0.9,0.2,0.2,0.5,11.7,1.2,86.7,2.8,178.0,84.7,327.0,88.6,4.7,97.5,95.9,25.5,76.1,80.0,82.2,36.0,67.2,20.0,2.0,32.0,2.0,50.0,3.0,51.0,3.0,71.0,4.0,69.3,73.3,494.0,0.8,6.5,0.0,0.4,0.4,31.6,1.0,0.0,15.6,City of Chicago SD 299, 9 10 11 12
1164,Disney II Magnet HS,HIGH SCHOOL,711,22.8,17.9,52.0,3.7,0.1,0.3,3.2,25.9,2.7,47.8,1.4,178.0,91.6,280.0,43.3,2.2,89.2,87.5,25.1,78.4,95.0,93.3,41.0,31.2,52.0,3.0,57.0,3.0,83.0,5.0,53.0,3.0,72.0,4.0,81.2,80.4,640.0,12.2,11.1,0.0,1.3,1.6,50.3,3.8,0.0,8.4,City of Chicago SD 299, 7 8 9 10 11 12
1165,Young Womens Leadership Chartr HS,CHARTER SCH,158,0.6,94.3,3.8,,,,1.3,32.3,1.9,88.0,5.7,178.0,90.1,91.0,63.7,2.7,88.2,91.4,13.8,66.7,22.0,87.8,7.0,46.9,54.0,3.0,67.0,4.0,68.0,4.0,50.0,3.0,97.0,5.0,70.8,95.0,347.0,2.3,19.3,0.0,0.0,0.6,52.4,7.8,0.0,13.8,City of Chicago SD 299, 9 10 11 12
1166,Urban Prep Chtr Acad Englewood HS,CHARTER SCH,258,,99.2,0.4,,,,0.4,27.1,0.4,85.7,0.4,178.0,93.6,107.0,46.8,2.0,74.3,84.1,18.9,22.2,64.0,77.1,5.0,20.5,69.0,4.0,64.0,4.0,58.0,3.0,52.0,3.0,70.0,4.0,91.2,99.9,444.0,1.1,1.8,1.6,0.0,0.0,28.4,0.0,0.0,12.6,City of Chicago SD 299, 9 10 11 12
1167,IHSCA Charter High School,CHARTER SCH,741,0.3,2.2,97.3,,,0.3,,22.1,30.4,94.7,1.8,178.0,88.0,472.0,67.2,3.6,87.5,94.8,23.2,45.5,131.0,56.8,59.0,47.5,16.0,1.0,17.0,1.0,40.0,3.0,49.0,3.0,57.0,3.0,94.0,82.3,771.0,0.0,0.0,0.0,0.0,0.0,46.7,1.4,0.0,16.9,City of Chicago SD 299, 9 10 11 12
