,School Name,School Type,# Student Enrollment,% Student Enrollment - White,% Student Enrollment - Black or African American,% Student Enrollment - Hispanic or Latino,% Student Enrollment - Asian,% Student Enrollment - Native Hawaiian or Other Pacific Islander,% Student Enrollment - American Indian or Alaska Native,% Student Enrollment - Two or More Races,% Student Enrollment - Children with Disabilities,% Student Enrollment - EL,% Student Enrollment - Low Income,% Student Enrollment - Homeless,Total Number of School Days,Student Attendance Rate,Chronically Truant Students,Student Chronic Truancy Rate,High School Dropout Rate - Total,High School 4-Year Graduation Rate - Total,High School 5-Year Graduation Rate - Total,Avg Class Size - High School,Teacher Retention Rate,# 9th Grade on Track,% Graduates enrolled in a Postsecondary Institution within 12 months,# Graduates enrolled in Community College,Chronic Absenteeism,Five Essential Survey Effective Leaders,Five Essential Survey Leaders Level,Five Essential Survey Collaborative Teachers,Five Essential Survey Collaborative Teachers Level,Five Essential Survey Involved Families,Five Essential Survey Involved Families Level,Five Essential Survey Supportive Environment,Five Essential Survey Supportive Environment Level,Five Essential Survey Ambitious Instruction,Five Essential Survey Ambitious Instruction.1,Five Essential Survey Student Response Rate,Five Essential Survey Teacher Response Rate,# CRDC Total Enrollment,% CRDC In-School Suspensions,% CRDC Out-of-School Suspensions,% CRDC Expulsions,% CRDC School Related Arrests,% CRDC Referral to Law Enforcement,% CRDC Chronic Absenteeism,% CRDC Incidents of Violence,% CRDC Enrolled PreK,% CRDC Advanced Placement Coursework,District,Grades Served
1200,Prosser Career Academy HS,HIGH SCHOOL,1327,1.9,19.2,77.8,0.4,0.1,0.5,0.2,16.7,7.7,89.1,2.4,178.0,89.0,585.0,50.4,1.8,90.4,94.0,28.7,90.6,212.0,72.4,126.0,44.8,39.0,2.0,51.0,3.0,54.0,3.0,59.0,3.0,72.0,4.0,84.1,66.3,1458.0,10.2,8.0,0.3,0.4,0.7,64.5,1.2,0.0,22.2,City of Chicago SD 299, 9 10 11 12
1201,Richards Career Academy HS,HIGH SCHOOL,217,0.9,41.0,57.6,,,,0.5,22.1,33.2,99.1,27.6,178.0,77.8,314.0,100.0,18.6,47.6,57.3,21.2,75.0,33.0,36.1,15.0,98.5,80.0,5.0,74.0,4.0,52.0,3.0,50.0,3.0,54.0,3.0,68.4,95.8,279.0,13.6,35.8,0.0,3.6,5.4,100.0,12.9,0.0,22.9,City of Chicago SD 299, 9 10 11 12
1202,Simeon Career Academy High School,HIGH SCHOOL,1338,,98.7,1.0,,0.1,,0.3,11.8,0.1,88.6,7.2,178.0,88.2,840.0,72.3,2.4,92.1,92.1,31.5,86.4,298.0,68.0,89.0,52.4,0.0,0.0,0.0,0.0,0.0,0.0,59.0,3.0,89.0,5.0,56.5,40.7,1385.0,6.9,16.8,0.1,1.4,3.2,51.5,1.4,0.0,5.6,City of Chicago SD 299, 9 10 11 12
1203,Perspectives Chtr -  IIT Campus,CHARTER SCH,488,0.2,98.0,1.8,,,,,19.9,1.2,91.2,11.9,178.0,89.4,338.0,75.9,3.1,87.5,98.4,6.2,3.8,20.0,,,48.2,28.0,2.0,45.0,3.0,51.0,3.0,37.0,2.0,51.0,3.0,76.7,66.7,,,,,,,,,,,City of Chicago SD 299, 6 7 8 9 10 11 12
1204,Corliss High School,HIGH SCHOOL,272,,97.4,1.5,,,0.7,0.4,29.0,1.5,91.2,8.5,178.0,83.7,281.0,88.9,13.5,64.8,54.5,25.0,75.4,44.0,42.9,23.0,74.7,69.0,4.0,67.0,4.0,62.0,4.0,47.0,3.0,75.0,4.0,75.5,75.0,428.0,9.3,8.4,0.5,6.1,6.8,79.9,4.7,0.0,21.5,City of Chicago SD 299, 9 10 11 12
1205,Clemente Community Academy HS,HIGH SCHOOL,697,1.7,29.7,67.3,0.3,0.1,0.4,0.4,29.3,12.6,87.7,13.5,178.0,81.1,619.0,92.3,6.8,84.0,79.6,30.6,76.5,132.0,50.5,39.0,77.3,27.0,2.0,44.0,3.0,55.0,3.0,45.0,3.0,59.0,3.0,58.9,77.2,763.0,0.8,40.2,0.0,0.5,3.8,75.8,9.8,0.0,13.5,City of Chicago SD 299, 9 10 11 12
1206,YCCS-Scholastic Achievement HS,CHARTER SCH,170,,95.9,3.5,,,0.6,,18.2,0.6,88.2,16.5,178.0,62.4,194.0,100.0,33.3,41.1,58.0,7.3,62.5,,,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,4.0,85.0,5.0,71.0,87.5,,,,,,,,,,,City of Chicago SD 299, 9 10 11 12
1207,YCCS- McKinley-Lakeside Leadership Academy,CHARTER SCH,150,0.7,97.3,2.0,,,,,21.3,1.3,96.0,30.0,178.0,66.1,209.0,100.0,28.6,50.0,61.9,5.0,62.5,,,,100.0,41.0,3.0,50.0,3.0,0.0,0.0,59.0,3.0,68.0,4.0,67.0,99.9,,,,,,,,,,,City of Chicago SD 299, 9 10 11 12
1208,YCCS-ASPIRA Pantoja Alt HS,CHARTER SCH,173,2.9,2.9,93.1,,0.6,0.6,,19.7,26.6,83.2,9.8,178.0,65.5,195.0,100.0,53.6,21.7,27.4,7.6,55.6,,,,100.0,51.0,3.0,73.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,44.5,99.9,,,,,,,,,,,City of Chicago SD 299, 9 10 11 12
1209,YCCS-Association House,CHARTER SCH,129,3.1,25.6,70.5,,,,0.8,24.0,15.5,93.0,36.4,178.0,59.7,186.0,100.0,49.8,31.5,23.3,6.2,75.0,,,,100.0,88.0,5.0,85.0,5.0,32.0,2.0,64.0,4.0,57.0,3.0,61.5,99.9,,,,,,,,,,,City of Chicago SD 299, 9 10 11 12
1210,YCCS-Austin Career Ed Cntr HS,CHARTER SCH,106,,99.1,0.9,,,,,18.9,,91.5,28.3,178.0,71.3,141.0,100.0,33.1,58.9,59.8,9.1,100.0,,,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,4.0,87.0,5.0,70.9,75.0,,,,,,,,,,,City of Chicago SD 299, 9 10 11 12
1211,YCCS-CCA Academy HS,CHARTER SCH,158,,97.5,1.9,,,,0.6,24.7,,96.2,40.5,178.0,51.6,218.0,100.0,30.9,37.6,42.1,10.0,27.3,,,,100.0,41.0,3.0,54.0,3.0,0.0,0.0,52.0,3.0,56.0,3.0,53.9,90.0,,,,,,,,,,,City of Chicago SD 299, 9 10 11 12
1212,YCCS-Progressive Leadership Academy,CHARTER SCH,185,,98.4,1.6,,,,,15.1,1.1,80.0,37.3,178.0,59.9,255.0,100.0,34.7,61.8,68.6,5.7,40.0,,,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,3.0,73.0,4.0,74.7,87.5,,,,,,,,,,,City of Chicago SD 299, 9 10 11 12
1213,Manley Career Academy High School,HIGH SCHOOL,80,1.3,97.5,1.3,,,,,40.0,,85.0,12.5,178.0,74.3,291.0,100.0,23.8,21.3,22.7,15.3,62.5,18.0,29.3,6.0,100.0,65.0,4.0,86.0,5.0,81.0,5.0,84.0,5.0,99.0,5.0,59.8,83.3,255.0,20.4,36.5,0.0,0.8,7.5,85.1,37.6,0.0,22.0,City of Chicago SD 299, 9 10 11 12
1214,Curie Metropolitan High School,HIGH SCHOOL,2895,2.1,12.8,82.7,1.7,0.0,0.3,0.3,15.4,14.1,88.5,1.6,178.0,88.4,1612.0,60.4,8.8,69.6,74.1,27.2,88.2,572.0,71.4,220.0,47.7,40.0,3.0,52.0,3.0,53.0,3.0,47.0,3.0,61.0,4.0,90.5,91.2,3056.0,3.2,6.2,0.0,1.0,1.0,54.6,1.3,0.0,12.4,City of Chicago SD 299, 9 10 11 12
1215,YCCS-Community Youth Dev Inst HS,CHARTER SCH,137,,98.5,,,,1.5,,21.9,,98.5,23.4,178.0,63.2,189.0,100.0,45.7,32.2,47.1,5.7,85.7,,,,100.0,43.0,3.0,53.0,3.0,0.0,0.0,59.0,3.0,80.0,5.0,69.5,99.9,,,,,,,,,,,City of Chicago SD 299, 9 10 11 12
1216,YCCS-Albizu Campos Puerto Rican HS,CHARTER SCH,185,0.5,24.3,73.0,,0.5,1.1,0.5,25.4,8.6,92.4,25.4,178.0,63.8,246.0,100.0,34.3,43.6,51.4,9.3,57.1,,,,100.0,77.0,4.0,78.0,4.0,60.0,4.0,62.0,4.0,65.0,4.0,61.1,85.7,,,,,,,,,,,City of Chicago SD 299, 9 10 11 12
1217,YCCS-Innovations of Arts Integr HS,CHARTER SCH,403,0.2,91.8,7.4,,0.2,,0.2,18.9,1.2,88.3,53.1,178.0,50.4,544.0,100.0,39.0,35.8,43.6,9.1,85.7,,,,100.0,59.0,3.0,58.0,3.0,18.0,1.0,54.0,3.0,59.0,3.0,55.6,94.1,,,,,,,,,,,City of Chicago SD 299, 9 10 11 12
1218,YCCS-Jane Addams Alternative HS,CHARTER SCH,209,3.3,25.4,71.3,,,,,21.5,9.1,72.2,9.6,178.0,80.5,234.0,100.0,42.6,42.7,60.3,7.2,83.3,,,,100.0,80.0,5.0,87.0,5.0,69.0,4.0,86.0,5.0,99.0,5.0,97.3,99.9,,,,,,,,,,,City of Chicago SD 299, 9 10 11 12
1219,YCCS-Latino Youth Alternative HS,CHARTER SCH,219,,10.5,88.6,0.5,,0.5,,16.0,21.0,84.9,21.0,178.0,67.1,270.0,100.0,45.3,21.6,36.7,10.9,87.5,,,,100.0,67.0,4.0,65.0,4.0,35.0,2.0,58.0,3.0,58.0,3.0,90.3,99.9,,,,,,,,,,,City of Chicago SD 299, 9 10 11 12
1220,YCCS-Olive Harvey Mid College HS,CHARTER SCH,101,,84.2,13.9,,,,2.0,12.9,4.0,89.1,27.7,178.0,76.4,127.0,100.0,41.4,15.4,29.8,2.8,100.0,,,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,3.0,51.0,3.0,60.0,99.9,,,,,,,,,,,City of Chicago SD 299, 9 10 11 12
1221,YCCS-Sullivan House Alt HS,CHARTER SCH,304,,95.7,3.6,,,,0.7,18.1,,98.4,31.9,178.0,86.0,181.0,68.0,15.9,53.6,62.4,5.9,92.3,,,,57.7,79.0,4.0,80.0,5.0,71.0,4.0,62.0,4.0,82.0,5.0,58.1,94.1,,,,,,,,,,,City of Chicago SD 299, 9 10 11 12
1222,YCCS-Truman Middle College HS,CHARTER SCH,218,8.7,31.7,45.0,9.2,0.5,1.8,3.2,11.9,23.4,78.4,15.6,178.0,64.7,250.0,100.0,37.0,29.5,36.8,7.3,78.6,,,,100.0,53.0,3.0,48.0,3.0,34.0,2.0,65.0,4.0,67.0,4.0,99.3,92.9,,,,,,,,,,,City of Chicago SD 299, 9 10 11 12
1223,YCCS-West Town Academy Alt HS,CHARTER SCH,172,0.6,61.0,37.2,,,0.6,0.6,19.2,7.6,83.7,26.2,178.0,61.1,229.0,100.0,39.9,41.4,40.9,7.5,60.0,,,,100.0,43.0,3.0,47.0,3.0,12.0,1.0,58.0,3.0,48.0,3.0,58.1,90.9,,,,,,,,,,,City of Chicago SD 299, 9 10 11 12
1224,YCCS-Westside Holistic Ldr Acad HS,CHARTER SCH,155,1.3,67.1,31.6,,,,,18.7,7.1,92.3,16.1,178.0,65.1,210.0,100.0,30.1,43.4,61.5,9.4,,,,,100.0,34.0,2.0,47.0,3.0,0.0,0.0,52.0,3.0,61.0,4.0,64.6,99.9,,,,,,,,,,,City of Chicago SD 299, 9 10 11 12
